gene,score_kmeans,score_agg,score_pca,consistency_score
CMTM5,0.1837024837197471,0.1837618537491069,0.0008630252329168085,0.012356444472141275
RPL30,0.13694751411674436,0.08403600205647363,0.1292331759756807,0.01175144927538485
LDHB,0.0625828897942116,0.09922217836249293,0.17380594768313537,0.011249713606582905
RPS15A,0.11948150355143208,0.08745114057282304,0.11436888880896239,0.010753485218453516
NUP214,0.10195266630675738,0.10081709424041956,0.11701458175565034,0.01072075490339305
CEBPB,0.09842880703899597,0.0975444915663363,0.11457274267903174,0.010405857775796638
GSTP1,0.037387458069356484,0.03345802413316871,0.041518379806186424,0.01027276436059048
APOBEC3A,0.09743834626412136,0.09517138005449441,0.11193946646325058,0.010199063160187637
BLVRB,0.08657921701492798,0.08545154121088773,0.1016226676016179,0.009161891331244143
GZMB,0.13149000417324708,0.005732992897018494,0.10329980243680158,0.008873728448462593
MS4A7,0.08311918273970752,0.08171250094467619,0.0976568451711714,0.008812510782784796
ALDH2,0.08071885045340106,0.07882230587291775,0.09313897824765748,0.008469495498070783
UBXN1,0.0007830411898951396,0.0010101594326945335,0.0015096642600481531,0.008433261392000775
RPS8,0.09523109072658247,0.07022525341758216,0.08010297726833761,0.008236216645543224
CD247,0.0915265293234083,0.049258560315875874,0.10037626854208215,0.008112148425895646
SELL,0.003411116463841216,0.004249810308574751,0.005389314782660658,0.007919473655373219
STXBP2,0.07326229287087573,0.07190548070726863,0.08583645365279514,0.007785268869105064
IFI6,0.07236888452717087,0.07250201987860941,0.0830801960452243,0.00764488487454543
RPS5,0.08003623519233352,0.05302287141508798,0.08587509331575957,0.007384404939153401
EEF1A1,0.07890541456459658,0.05212528376046206,0.07931482903533311,0.007065436438877878
ITGB3,0.10372505960376682,0.1037325526950509,0.0007673554081863551,0.006989164623484588
FKBP1A,0.06538289005645506,0.06486698005678308,0.07424705049982697,0.0068948523871019485
ASGR1,0.06479749857881924,0.0632757743424279,0.07544526945739789,0.006825783499619054
MMD,0.10042082923528257,0.10008315236476588,0.0012672737480465995,0.006796204982551716
LCN2,0.09962316955553667,0.09962356143995113,0.0009321711520639421,0.006725243946150888
SPOCD1,0.09962316955553667,0.09962356143995113,0.0009321711520639421,0.006725243905242466
FGL2,0.06328841410769695,0.06157747304305411,0.07399175525527736,0.006667865069376541
IFI30,0.05118004864258612,0.05049810882979593,0.05935309770089226,0.006644145813168774
CXCR4,0.057726122255994675,0.05945045414786155,0.07428217666160108,0.00643338557433569
ATP5A1,0.00013781651733515705,0.000446512749556181,0.00041212257164851987,0.0063828448711280945
FCGR2A,0.05964737224303151,0.059204994792062766,0.0705858627827864,0.0063581382498307925
